"","TransStat","X","Y"
"1","1-1",376018,1914384
"2","1-2",376105,1914457
"3","1-3",376284,1914508
"4","1-4",376447,1914427
"5","1-5",376536,1914359
"6","1-6",376683,1914355
"7","1-7",376830,1914376
"8","1-8",376832,1914994
"9","1-9",376832,1914994
"10","1-10",376018,1914384
"11","1-11",376018,1914384
"12","1-12",376018,1914384
"13","2-1",376036,1914252
"14","2-2",376105,1914115
"15","2-3",376165,1913989
"16","2-4",376228,1913866
"17","2-5",376313,1913747
"18","2-6",376382,1913637
"19","2-7",376440,1913514
"20","2-8",376517,1913585
"21","2-9",376517,1913585
"22","2-10",376036,1914252
"23","2-11",376036,1914252
"24","3-1",376677,1914046
"25","3-2",376815,1914083
"26","3-3",376899,1914038
"27","3-4",376915,1913951
"28","3-5",376915,1913825
"29","3-6",376915,1913825
"30","3-7",376915,1913825
"31","4-1",376658,1914172
"32","4-2",376784,1914239
"33","4-3",376915,1914327
"34","4-4",377047,1914373
"35","4-5",377176,1914467
"36","4-6",377166,1914619
"37","4-7",376547,1914044
"38","4-8",376547,1914044
"39","4-9",376547,1914044
"40","4-10",376658,1914172
"41","5-1",376547,1914044
"42","5-2",376547,1914044
"43","5-3",376547,1914044
"44","5-4",376547,1914044
"45","5-5",376547,1914044
"46","5-6",376547,1914044
"47","5-7",376547,1914044
"48","5-8",376547,1914044
"49","5-9",376547,1914044
"50","5-10",376547,1914044
