"","Species_Code","Type","Detections2016","nPoints2016","Mean_Det2016","nPoints2022","Detections2022","Mean_Det2022"
"1","BRWE","F",6,20,0.3,NA,NA,NA
"2","BRWE","G",0,26,0,NA,NA,NA
"3","COKI","F",2,20,0.1,NA,NA,NA
"4","COKI","G",6,26,0.230769230769231,26,1,0.0384615384615385
"5","INEG","F",0,20,0,NA,NA,NA
"6","INEG","G",1,26,0.0384615384615385,NA,NA,NA
"7","MIHO","F",31,20,1.55,24,16,0.666666666666667
"8","MIHO","G",44,26,1.69230769230769,26,72,2.76923076923077
"9","MIME","F",36,20,1.8,24,35,1.45833333333333
"10","MIME","G",4,26,0.153846153846154,NA,NA,NA
"11","MIST","F",34,20,1.7,24,53,2.20833333333333
"12","MIST","G",47,26,1.80769230769231,26,54,2.07692307692308
"13","TIMO","F",4,20,0.2,24,38,1.58333333333333
"14","TIMO","G",0,26,0,NA,NA,NA
"15","WTGD","F",9,20,0.45,24,4,0.166666666666667
"16","WTGD","G",8,26,0.307692307692308,NA,NA,NA
"17","MAFD","F",NA,NA,NA,24,7,0.291666666666667
"18","MAFD","G",NA,NA,NA,26,6,0.230769230769231
"19","RUFA","F",NA,NA,NA,24,51,2.125
"20","RUFA","G",NA,NA,NA,26,3,0.115384615384615
